0.00,0.00
0.08,0.04
0.16,0.17
0.25,0.43
0.33,0.92
0.41,2.06
0.49,8.77
0.57,-5.98
0.66,-2.30
0.74,-1.33
0.82,-0.81
0.90,-0.45
0.98,-0.18
1.07,0.05
1.15,0.23
1.23,0.39
1.31,0.50
1.39,0.59
1.48,0.64
1.56,0.67
1.64,0.65
1.72,0.61
1.80,0.53
1.89,0.43
1.97,0.28
2.05,0.11
2.13,-0.10
2.21,-0.36
2.30,-0.69
2.38,-1.14
2.46,-1.91
2.54,-4.03
2.62,45.71
2.71,2.82
2.79,1.16
2.87,0.55
2.95,0.24
3.03,0.07
3.12,0.00
3.20,0.02
3.28,0.12
3.36,0.33
3.44,0.73
3.53,1.57
3.61,4.67
3.69,-11.76
3.77,-2.86
3.85,-1.55
3.94,-0.94
4.02,-0.55
4.10,-0.26
4.18,-0.02
4.26,0.18
4.35,0.34
4.43,0.47
4.51,0.57
4.59,0.63
4.67,0.66
4.76,0.66
4.84,0.63
4.92,0.56
5.00,0.46
5.08,0.33
5.17,0.17
5.25,-0.03
5.33,-0.28
5.41,-0.58
5.49,-0.98
5.58,-1.61
5.66,-3.03
5.74,-15.49
5.82,4.16
5.90,1.48
5.99,0.69
6.07,0.31
6.15,0.11
6.23,0.02
6.31,0.01
6.40,0.08
6.48,0.25
6.56,0.58
6.64,1.23
6.72,3.07
6.81,2791.10
6.89,-3.73
6.97,-1.83
7.05,-1.10
7.13,-0.66
7.22,-0.34
7.30,-0.09
7.38,0.12
7.46,0.30
7.54,0.43
7.63,0.54
7.71,0.62
7.79,0.66
7.87,0.67
7.95,0.64
8.04,0.59
8.12,0.50
8.20,0.37
8.28,0.22
8.36,0.03
8.45,-0.20
8.53,-0.48
8.61,-0.84
8.69,-1.38
8.77,-2.42
8.86,-6.78
8.94,7.27
9.02,1.92
9.10,0.87
9.18,0.40
9.27,0.16
9.35,0.03
9.43,0.00
9.51,0.05
9.59,0.19
9.68,0.46
9.76,0.97
9.84,2.22
9.92,11.00
10.01,-5.35
10.09,-2.20
10.17,-1.28
10.25,-0.78
10.33,-0.43
10.42,-0.16
10.50,0.06
10.58,0.25
10.66,0.40
10.74,0.51
10.83,0.60
10.91,0.65
10.99,0.67
11.07,0.65
11.15,0.61
11.24,0.53
11.32,0.42
11.40,0.27
11.48,0.09
11.56,-0.12
11.65,-0.38
11.73,-0.72
11.81,-1.18
11.89,-2.00
11.97,-4.38
12.06,22.87
12.14,2.60
12.22,1.09
12.30,0.52
12.38,0.22
12.47,0.06
12.55,0.00
12.63,0.02
12.71,0.13
12.79,0.36
12.88,0.77
12.96,1.68
13.04,5.29
13.12,-9.50
13.20,-2.70
13.29,-1.49
13.37,-0.91
13.45,-0.53
13.53,-0.24
13.61,-0.00
13.70,0.19
13.78,0.35
13.86,0.48
13.94,0.57
14.02,0.64
14.11,0.66
14.19,0.66
14.27,0.62
14.35,0.55
14.43,0.45
14.52,0.32
14.60,0.15
14.68,-0.05
14.76,-0.30
14.84,-0.60
14.93,-1.02
15.01,-1.68
15.09,-3.23
15.17,-22.78
15.25,3.75
15.34,1.39
15.42,0.65
15.50,0.29
15.58,0.10
15.66,0.01
15.75,0.01
15.83,0.09
15.91,0.27
15.99,0.61
16.07,1.30
16.16,3.37
16.24,-47.95
16.32,-3.48
16.40,-1.76
16.48,-1.06
16.57,-0.63
16.65,-0.32
16.73,-0.07
16.81,0.14
16.89,0.31
16.98,0.44
17.06,0.55
17.14,0.62
17.22,0.66
17.30,0.67
17.39,0.64
17.47,0.58
17.55,0.49
17.63,0.36
17.71,0.21
17.80,0.02
17.88,-0.21
17.96,-0.50
18.04,-0.87
18.12,-1.43
18.21,-2.55
18.29,-7.85
18.37,6.18
18.45,1.80
18.53,0.82
18.62,0.38
18.70,0.15
18.78,0.03
18.86,0.00
18.94,0.05
19.03,0.20
19.11,0.48
19.19,1.03
19.27,2.39
19.35,14.66
19.44,-4.84
19.52,-2.10
19.60,-1.23
19.68,-0.75
19.76,-0.41
19.85,-0.14
19.93,0.08
20.01,0.26
20.09,0.41
20.17,0.52
20.26,0.60
20.34,0.65
20.42,0.67
20.50,0.65
20.58,0.60
20.67,0.52
20.75,0.41
20.83,0.26
20.91,0.08
20.99,-0.14
21.08,-0.40
21.16,-0.75
21.24,-1.23
21.32,-2.09
21.40,-4.79
21.49,15.16
21.57,2.40
21.65,1.03
21.73,0.49
21.81,0.20
21.90,0.06
21.98,0.00
22.06,0.03
22.14,0.14
